FROM,TO,WEIGHT
1970sith,hugoguionista,85
yasna_cardenasx,hugoguionista,78
naldo1970,hugoguionista,65
zxrdo_albo76,hugoguionista,62
helenagallardom,hugoguionista,55
eduringraja,hugoguionista,52
rosarioacemon,bosqueazul1,49
marcelo46676813,alidatalloni,48
vernica07401640,hugoguionista,43
cristiangarciac,el_ciudadano,43
naujoli19,el_ciudadano,42
jlgarca4,activistaenrrss,39
malahierba84,hugoguionista,38
joctool,hugoguionista,37
anamari50348479,hugoguionista,37
ppitune,hugoguionista,37
verottk77,hugoguionista,37
alexornis5,hugoguionista,35
valegonsep,hugoguionista,35
mauro24394375,hugoguionista,35
nancy_gatica,hugoguionista,34
dpm_chile2020,hugoguionista,33
ralbert89038996,hugoguionista,32
marita_stappung,hugoguionista,31
ab_eddo,hugoguionista,31
mtel5985,hugoguionista,31
brnalillo,hugoguionista,30
jpeley,primeralineatw,29
mariaan84790241,hugoguionista,27
anonymuschileno,hugoguionista,27
loreroli,hugoguionista,27
malahierba84,primeralineatw,27
luisnar99161325,hugoguionista,27
cristiangalett3,hugoguionista,26
pazquinteros2,hugoguionista,25
lettyblur,hugoguionista,25
jiba1971,vivimatus,25
juanx7,hugoguionista,25
chuncho_de_,hugoguionista,25
jasnamarin1,hugoguionista,25
enrique53904974,noalguve,24
joshuarr43,hugoguionista,24
patricioogalde5,hugoguionista,23
daluso30313313,palkatiao,22
lromer2016,hugoguionista,22
ab_eddo,bosqueazul1,22
juanbernardoa11,hugoguionista,22
monik18314374,hugoguionista,22
copihua85,hugoguionista,22
fjavier161972,hugoguionista,22
caceresjoo,chilelibresiem1,22
helenagallardom,octoamaro,22
marcegeopch,primeralineatw,22
dpm_chile2020,alidatalloni,21
patriciapazos53,hugoguionista,21
jelvecita,hugoguionista,21
rosarioacemon,hugoguionista,21
lu_cuaternario,estallidotw,21
naldo1970,octoamaro,21
estergae,hugoguionista,21
cyndi_gon,hugoguionista,21
torres_yuria,roja53c,20
mariluzlulu2,estallidotw,20
dinamo2580,hugoguionista,20
academica2021,frenterebeldes,20
alejand72427813,hugoguionista,20
lchko70,hugoguionista,20
helmutkramer,hernanpalma_d12,20
basaesvaldivia,hugoguionista,20
mi2023pf,hugoguionista,19
1970sith,noalguve,19
lromer2016,bosqueazul1,19
eyzacine,pparcos1,19
juanluisarriet3,noalguve,19
waldoebe,hugoguionista,19
ohcontrerasv,hugoguionista,19
alecelish,hugoguionista,19
dr_nachorr,notapruebo,19
sapernaja,hugoguionista,18
marcelatrupan,hugoguionista,18
1970sith,bosqueazul1,18
dokarmog,camiver9810,18
juanenr59182082,hugoguionista,18
ivan_cc,viviluc2,18
unda110,lunavallevic,18
ganoelapruebo,hugoguionista,18
cidpatita,hugoguionista,18
veronic23088357,viviluc2,18
carlosramones14,hugoguionista,18
danielaurriola7,zapata_renato,18
naujoli19,estallidotw,17
torres_yuria,revoluciontt,17
torres_yuria,palkatiao,17
psjcardenas,lunavallevic,17
1970sith,crovanos,17
rosarioacemon,lunavallevic,17
veronic23088357,hugoguionista,17
daluso303133,bosqueazul1,17
munos1977,hugoguionista,17
edumartinezcam,hugoguionista,17
daluso30313313,roja53c,16
nlferrer,estallidotw,16
angelic11240397,viviluc2,16
ginniasa,roja53c,16
williambarrene4,hugoguionista,16
marylen61,frenterebeldes,16
hipierasta,hugoguionista,16
cata42335233,hugoguionista,16
legadobachelet,apruebaxchile,16
orellananjo,hugoguionista,16
lesliehenrique3,hugoguionista,16
caroamadrid,hugoguionista,16
rcontrerasg0420,hugoguionista,16
pelaoevr89a1,hugoguionista,16
ttenetor,hugoguionista,16
anandatribe,roja53c,16
carrasco_cueto,octoamaro,16
namegeorge,vivimatus,16
marcegeopch,frenterebeldes,16
marcegeopch,revtt_prensa,16
marcegeopch,academica2021,16
bluck_bony,hugoguionista,16
gianina17,hugoguionista,16
clara36138202,hugoguionista,16
joctool,mister_wolf_0,15
xparraa,bosqueazul1,15
rosarioacemon,roja53c,15
franciscossch,mister_wolf_0,15
markiss49026504,hugoguionista,15
tombiclousso1,primeralineatw,15
daluso303133,hugoguionista,15
grezramirez,hugoguionista,15
andreavp04,anandatribe,15
bulla209,hugoguionista,15
wilson14901,bosqueazul1,15
helenagallardom,roja53c,15
helenagallardom,dunicos,15
neftis_aris,hugoguionista,15
ienriqueu,hugoguionista,15
vinotecaria2021,hugoguionista,15
gjeldescortes21,hugoguionista,15
moul7darth,hugoguionista,15
janecarvajal,crovanos,14
vitokoherba,hugoguionista,14
chileconvoca,roja53c,14
ravilusa,hugoguionista,14
edwardyanez2017,hugoguionista,14
moraleschandia,lunavallevic,14
mleiva795,hugoguionista,14
virgo723,hugoguionista,14
majive3105,revoluciontt,14
primeralineatw,frenterebeldes,14
angullini,viviluc2,14
daluso303133,frenterebeldes,14
edotrigol,bosqueazul1,14
rodolfoxoliz,roja53c,14
azzul2006,hugoguionista,14
cariitr0s,_vieja_chepa,14
jpablodonoso,el_ciudadano,14
anita70938139,revoluciontt,14
arv70148637,crovanos,14
1956eduardofco,lunavallevic,14
yessicabrerag,frenterebeldes,14
helenagallardom,el_ciudadano,14
jaechvaariel,hugoguionista,14
marcegeopch,_vieja_chepa,14
marcegeopch,revoluciontt,14
marcegeopch,raulfuentesgaet,14
jpeley,frenterebeldes,13
janecarvajal,jpeley,13
luisgastons,hugoguionista,13
