FROM,TO,WEIGHT
fernand55916148,24horastvn,44
ciudadanocero13,espaol49216792,38
naujoli19,el_ciudadano,36
cristiangarciac,el_ciudadano,34
escarateleo,afc073,27
borquezrosario,24horastvn,25
clauloyola11,afc073,20
andresjaviercl,24horastvn,19
ingridrojassilv,miderechoeducar,18
familiayeducac1,miderechoeducar,17
antoniodoxchile,miderechoeducar,17
educarfuturoch,miderechoeducar,15
macasilvacost,miderechoeducar,14
veterano_red,espaol49216792,14
countofright,24horastvn,13
limon_de_pica_,alertaley,13
lavidaloprimero,miderechoeducar,12
maury764,miderechoeducar,11
casaconstarica,afc073,11
santi544,espaol49216792,11
andresjaviercl,supernova_2020,10
joaquina_ved,miderechoeducar,10
janet90476632,24horastvn,10
fabiparraguezm,24horastvn,10
manuelg09416464,el_ciudadano,10
educarderecho,miderechoeducar,10
bernardolarrain,pivotes_cl,10
pipelex1,miderechoeducar,10
jpablodonoso,el_ciudadano,10
andresjaviercl,miderechoeducar,9
riquelme4_irma,tiapikachu,9
0324marta,miderechoeducar,9
gonzalo68737901,ccifuentesh,9
souzaeluam,24horastvn,9
eli_cave_canem,miderechoeducar,9
mariluzlulu2,estallidotw,9
jorgeelgueta14,artemisofarica,8
natadeleche3,24horastvn,8
gonzalo68737901,berfontaine,8
max201522c,el_ciudadano,8
unchilenox,24horastvn,8
gloriaalonsomiq,miguelhuerta32,8
zoyer79553044,24horastvn,8
eme1810,miderechoeducar,8
marita_stappung,el_ciudadano,8
spn_albadaniela,24horastvn,8
greciadiaz_diaz,miderechoeducar,8
catupichumn,revistaen_torno,8
cabildovancouv1,revistaen_torno,8
nomimalone__,espaol49216792,8
isialer,anahidurandg,7
benitadanae,miderechoeducar,7
juanx7,24horastvn,7
marinescim,berfontaine,7
vinkaroll,miderechoeducar,7
carmen_borbaran,24horastvn,7
twittjosem,24horastvn,7
consentidachile,miderechoeducar,7
manuelavargasr,rodrigoarayac_,7
helenagallardom,el_ciudadano,7
arrismaria,jclaissac,7
escarateleo,carovilchesf,6
giovann56636968,ropaestilosa,6
tvn,24horastvn,6
el_maleza,el_ciudadano,6
juana56973095,miderechoeducar,6
szamhht,berfontaine,6
marcebpp,el_ciudadano,6
themys77,24horastvn,6
marceloalonsoh,artemisofarica,6
carmenelecaro,marcoqz,6
chibasa14,chiledespertoi,6
anitamariagarr1,berfontaine,6
anitamariagarr1,paz_charpentier,6
monicaopazo2,el_ciudadano,6
vivimossert,berfontaine,6
rcastillomurill,jclaissac,6
trabajaronline1,el_ciudadano,6
bhdilan,el_ciudadano,6
eyzacine,el_ciudadano,6
zapata_renato,el_ciudadano,6
